"C00001","O"
"C00002","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00003","[C@H]1([C@@H]([C@H](O[C@H]1[n+]1cc(ccc1)C(=O)N)COP(=O)(OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1cnc2c1ncnc2N)O)O)O)O)O)O"
"C00004","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C(CC=C1)C(=O)N)O)O"
"C00005","[C@H]1(n2c3c(nc2)c(ncn3)N)[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C(CC=C1)C(=O)N)O)O)O)OP(=O)(O)O"
"C00006","[C@H]1(n2c3c(nc2)c(ncn3)N)[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)[n+]1cc(ccc1)C(=O)N)O)O)O)OP(=O)(O)O"
"C00007","O=O"
"C00008","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O"
"C00009","P(=O)(O)(O)O"
"C00010","n1([C@@H]2O[C@@H]([C@H]([C@H]2O)OP(=O)(O)O)COP(=O)(OP(=O)(OCC([C@H](C(=O)NCCC(=O)NCCS)O)(C)C)O)O)c2c(nc1)c(ncn2)N"
"C00011","C(=O)=O"
"C00012","NC(C(=O)NC(C(=O)O)*)*"
"C00013","P(=O)(OP(=O)(O)O)(O)O"
"C00014","N"
"C00015","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O"
"C00016","[nH]1c(=O)nc2c(c1=O)nc1c(n2C[C@@H]([C@@H]([C@@H](COP(=O)(OP(=O)(OC[C@@H]2[C@H]([C@H]([C@@H](O2)n2c3ncnc(c3nc2)N)O)O)O)O)O)O)O)cc(c(c1)C)C"
"C00017","N[C@H](C(=O)N[C@@H](*)C(=O)O)*"
"C00018","c1(c(c(c(nc1)C)O)C=O)COP(=O)(O)O"
"C00019","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C[S+](CC[C@@H](C(=O)[O-])N)C"
